,user_id,offer_id,offer_effect,offer_completed
0,68be06ca386d4c31939f3a4f0e3dd783,ae264e3637204a6fb9bb56bc8210ddfd,,0
1,68be06ca386d4c31939f3a4f0e3dd783,4d5c57ea9a6940dd891ad53e9dbe8da0,,0
2,68be06ca386d4c31939f3a4f0e3dd783,3f207df678b143eea3cee63160fa8bed,,0
3,68be06ca386d4c31939f3a4f0e3dd783,9b98b8c7a33c4b65b9aebfe6a799e6d9,,0
4,68be06ca386d4c31939f3a4f0e3dd783,0b1e1539f2cc45b7b9fa7c272da2e1d7,0,0
5,68be06ca386d4c31939f3a4f0e3dd783,2298d6c36e964ae4a3e7e9706d1fb8c2,1,1
6,68be06ca386d4c31939f3a4f0e3dd783,fafdcd668e3743c1bb461111dcafc2a4,1,1
7,68be06ca386d4c31939f3a4f0e3dd783,5a8bc65990b245e5a138643cd4eb9837,,0
8,68be06ca386d4c31939f3a4f0e3dd783,f19421c1d4aa40978ebb69ca19b0e20d,,0
9,68be06ca386d4c31939f3a4f0e3dd783,2906b810c7d4411798c6938adc9daaa5,0,0
10,0610b486422d4921ae7d2bf64640c50b,ae264e3637204a6fb9bb56bc8210ddfd,,0
11,0610b486422d4921ae7d2bf64640c50b,4d5c57ea9a6940dd891ad53e9dbe8da0,,0
12,0610b486422d4921ae7d2bf64640c50b,3f207df678b143eea3cee63160fa8bed,0,1
13,0610b486422d4921ae7d2bf64640c50b,9b98b8c7a33c4b65b9aebfe6a799e6d9,0,1
14,0610b486422d4921ae7d2bf64640c50b,0b1e1539f2cc45b7b9fa7c272da2e1d7,,0
15,0610b486422d4921ae7d2bf64640c50b,2298d6c36e964ae4a3e7e9706d1fb8c2,,0
16,0610b486422d4921ae7d2bf64640c50b,fafdcd668e3743c1bb461111dcafc2a4,,0
17,0610b486422d4921ae7d2bf64640c50b,5a8bc65990b245e5a138643cd4eb9837,,0
18,0610b486422d4921ae7d2bf64640c50b,f19421c1d4aa40978ebb69ca19b0e20d,,0
19,0610b486422d4921ae7d2bf64640c50b,2906b810c7d4411798c6938adc9daaa5,,0
20,38fe809add3b4fcf9315a9694bb96ff5,ae264e3637204a6fb9bb56bc8210ddfd,,0
21,38fe809add3b4fcf9315a9694bb96ff5,4d5c57ea9a6940dd891ad53e9dbe8da0,,0
22,38fe809add3b4fcf9315a9694bb96ff5,3f207df678b143eea3cee63160fa8bed,,0
23,38fe809add3b4fcf9315a9694bb96ff5,9b98b8c7a33c4b65b9aebfe6a799e6d9,0,0
24,38fe809add3b4fcf9315a9694bb96ff5,0b1e1539f2cc45b7b9fa7c272da2e1d7,,0
25,38fe809add3b4fcf9315a9694bb96ff5,2298d6c36e964ae4a3e7e9706d1fb8c2,,0
